Id,Name,Link,Ingredients,Allergensraw,Allergensmapped,helper column (milk),helper column (egg),helper column (peanut),helper column (tree nut),helper column (wheat),helper column (soy),helper column (fish),Allergensmapped
95,Vegetable Fat Spread with Olive Oil,https://world.openfoodfacts.org/product/8719200237902,"vegetable oils rapeseed, palm, olive , water, salt , buttermilk milk, emulsifiers mono   diglycerides of fatty acids, lecithin, natural flavourings, vitamins a  d",milk,,milk,,,,,,,milk
96,Pesto Rosso,https://world.openfoodfacts.org/product/8076809523547,"tomato pulp , sunflower oil, tomato concentrate , grana padano pdo cheese milk, lysozyme from egg, cashews, sugar, salt, basil, balsamic vinegar of modena wine vinegar, cooked grape must , whey powder milk, pecorino romano pdo cheese sheeps milk, rice starch, garlic, acidity regulator lactic acid, natural flavouring milk","eggs,milk,nuts",,milk,egg,,tree nut,,,,"milk, egg, tree nut"
97,LIDL Organic Dark Chocolate,https://world.openfoodfacts.org/product/40896243,"cocoa paste, cane sugar, cocoa butter, emulsifier soy lecithins",soybeans,,,,,,,soy,,soy
98,Fruit & Nut Mix,https://world.openfoodfacts.org/product/20815394," walnuts,  whole almonds,  sultanas sultanas, sunflower oil,  dried sweetened cranberries cranberries, sugar, sunflower oil",nuts,,,,,tree nut,,,,tree nut
99,Plain fresh cream cheese squares,https://world.openfoodfacts.org/product/3480341000636,"milk, cream, salt, lactic cultures",milk,,milk,,,,,,,milk
100,Mayonnaise,https://world.openfoodfacts.org/product/8718114724485,"rapeseed oil , egg , egg yolk ,, water, spirit vinegar, sugar, salt, lemon juice concentrate, flavourings, antioxidant calcium disodium edta, paprika extract, sunflower oil,",eggs,,,egg,,,,,,egg
101,Peripella,https://world.openfoodfacts.org/product/6111250474405,"sugar, vegetable oil and fat, milk whey powder, cocoa powder, hazelnut paste, emulsifiers soy lecithin, flavors, antioxidants","milk,nuts,soybeans",,milk,,,tree nut,,soy,,"milk, tree nut, soy"
102,Smooth yogurt,https://world.openfoodfacts.org/product/6111242102767,"fresh milk, cream, sugar, creamed milk powder, lactic cultures, flavor, vitamins a and d",milk,,milk,,,,,,,milk
103,Soy vanilla yogurt,https://world.openfoodfacts.org/product/5411188103387,"soy juice, sugar, stabilizer pectins, acidity regulators citric acid, sodium citrates, calcium, carrot concentrate, table sea salt, flavors, natural vanilla flavor, powdered vanilla, antioxidants tocopherolrich extract, ascorbic acid esters, vitamins b, b, d, yogurt cultures s thermophilus, l bulgaricus",soybeans,,,,,,,soy,,soy
104,Organic peanut butter,https://world.openfoodfacts.org/product/3760091727732,peanut,"nuts,peanuts",,,,peanut,tree nut,,,,"peanut, tree nut"
105,WEETABIX whole wheat cereal,https://world.openfoodfacts.org/product/5010029000023,"whole wheat, malted barley extract, sugar, salt, niacin, iron, vitamins b",gluten,,,,,,wheat,,,wheat
106,Almond Drink,https://world.openfoodfacts.org/product/4056489346357,"water, almonds, maltodextrins, sea salt, stabilizers carob seed flour, gellanic gum, emulsifier sunflower lecithin, natural aroma, from organic farming","gluten,nuts",,,,,tree nut,wheat,,,"tree nut, wheat"
107,BROOKLEA Authentic Greek Yogurt,https://world.openfoodfacts.org/product/4088600060941/authentic-greek-yogurt-brooklea,milk,milk,,milk,,,,,,,milk
108,Wheat Bisks,https://world.openfoodfacts.org/product/4088600247519,"whole wheat , barley malt extract, sugar, salt, niacin, iron, riboflavin, thiamin, folic acid,",gluten,,,,,,wheat,,,wheat
109,Excellence dark chocolate,https://world.openfoodfacts.org/product/3046920029780,"cocoa paste, sugar, cocoa butter, emulsifier soy lecithin, vanilla",soybeans,,,,,,,soy,,soy
110,Sliced brioche loaf (gache),https://world.openfoodfacts.org/product/3587220002252,"wheat flour, sugar, fresh butter, whole fresh eggs, water, fresh cream, salt, natural flavors contains alcohol, yeast, wheat gluten, brandy, milk proteins, inactive yeast, coloring betacarotene","eggs,gluten,milk",,milk,egg,,,wheat,,,"milk, egg, wheat"
111,ST HUBERT organic plant-based spread,https://world.openfoodfacts.org/product/3366321052386,"vegetable oils shea, higholeic sunflower, coconut, rapeseed, water, emulsifier soy lecithin, salt, natural carrot flavor, lemon juice, stabilizer pectin","nuts,soybeans",,,,,tree nut,,soy,,"tree nut, soy"
112,Sour Cream & Onion,https://world.openfoodfacts.org/product/5053990101597,"dehydrated potatoes, vegetable oils conflower, corn, rice flour, wheat starch, corn flour, sour cream  onion flavour, wheat starch, flavour enhancers monosodium glutamate, disodium guanylate, disodium inosinate, onion powder, maltodextrin, salt, dextrose, sunflower oil, sugar, sweet whey powder milk, potato starch, modified maize starch, acids citric acid, lactic acid, malic acid, sour cream powder milk*, natural and nature identical flavourings onion powder and sour cream yeast extract, glucose syrup, four, emulsifier e colour annatto milk","gluten,milk",,milk,,,,wheat,,,"milk, wheat"
113,SOL & MAR Vanilla flan,https://world.openfoodfacts.org/product/20020545/flan-vainilla-sol-mar,"pork eu origin, salt, lactose, dextrose, sugar, pepper, garlic, antioxidantpreservative sodium erythorbate, potassium nitrate, milk cultures","milk,pork",,milk,,,,,,,milk
114,NESQUIK Cocoa,https://world.openfoodfacts.org/product/7613039490266,"sugar, natural defatted cocoa powder , emulsifier soy lecithin, salt, vitamins c, d, natural aroma, cinnamon,",soybeans,,,,,,,soy,,soy
115,MAGGI Arome,https://world.openfoodfacts.org/product/3033710084913/arome-maggi-nestle,"flavors wheat protein water  salt  flavor enhancers  monosodium glutamate, inosinate disodium  sugar",gluten,,,,,,wheat,,,wheat
116,MENGUYS Peanut,https://world.openfoodfacts.org/product/3327272107969,peanuts,peanuts,,,,peanut,tree nut,,,,"peanut, tree nut"
117,TARTINES campagne,https://world.openfoodfacts.org/product/3760049791006,"wheat flour, water, rapeseed oil, wheat gluten, yeast, durum wheat semolina, devitalized wheat sourdough, salt, natural flavor contains alcohol, preservative calcium propionate, rye flour, roasted malted barley flour, inactive yeast, roasted malted wheat flour, antioxidant ascorbic acid",gluten,,,,,,wheat,,,wheat
118,LIDL FERRERO Nutella Hazelnut Cocoa Spread,https://world.openfoodfacts.org/product/4008400404127,"sugar, palm oil, hazelnuts, skimmed milk powder, lowfat cocoa, emulsifier soy lecithin, vanillin","milk,nuts,soybeans,tree nuts",,milk,,,tree nut,,soy,,"milk, tree nut, soy"
119,Dark Chococale,https://world.openfoodfacts.org/product/8410510012196,"cocoa paste, defatted cocoa powder, cocoa butter, sugar, milk powder, almond and hazelnut paste, emulsifiers soy, sunflower, flavor","milk,nuts,soybeans",,milk,,,tree nut,,soy,,"milk, tree nut, soy"
120,Whole-wheat sandwich bread,https://world.openfoodfacts.org/product/4056489007180,"whole wheat flour, water, wheat flour, rapeseed oil, sugar, yeast, salt, fava bean flour, acidity regulator sodium acetates, natural flavor, alcohol",gluten,,,,,,wheat,,,wheat
121,Biscoff spread,https://world.openfoodfacts.org/product/5410126006957,"wheat flour, sugar, vegetable oils palm oil, rapeseed oil, golden syrup, baking powder sodium acid carbonate, soy flour, salt, cinnamon, rapeseed oil, sugar, emulsifier soy lecithin, acidifier citric acid","gluten,soybeans",,,,,,wheat,soy,,"wheat, soy"
122,Organic original granola,https://world.openfoodfacts.org/product/3770007543493/granola-bio-l-original-essentiels,"oat flakes, honey, rapeseed oil, almonds, sunflower seeds, sesame seeds, pumpkin seeds, sea salt, ground cinnamon",nuts,,,,,tree nut,,,,tree nut
123,Whole-grain crispbread,https://world.openfoodfacts.org/product/3041090063206,"cereals whole wheat flour, rye flour, wheat flour, rice flour, malted wheat flour, buckwheat flour, barley flour, wheat semolina, sugar, milk whey powder, salt, palm oil, wheat germs","gluten,milk",,milk,,,,wheat,,,"milk, wheat"
124,Kinder Bueno,https://world.openfoodfacts.org/product/80052760,"milk chocolate  sugar, cocoa butter, cocoa mass, skimmed milk powder, concentrated potter, emulsifier lecithins soya, vanillin, sugar, palm oil, wheat flour, hazelnuts , skimmed milk powder, milk powder, chocolate sugar, cocoa mass, cocoa butter, emulsifier lecithins soya, vanillin, fatreduced cocoa, emulsifier lecithins soya, raising agent sodium bicarbonate, salt, vanillin","gluten,milk,nuts,soybeans",,milk,,,tree nut,wheat,soy,,"milk, tree nut, wheat, soy"
125,Special Muesli ,https://world.openfoodfacts.org/product/5010477348678,"whole cereals oat flakes, wheat flakes, toasted wheat flakes, dried fruits raisins, sultanas, chopped dried apricots, dried apple slices, toasted coconut pieces, chopped toasted hazelnuts, sliced almonds, barley flakes, sunflower seeds","gluten,nuts,oats",,,,,tree nut,wheat,,,"tree nut, wheat"
126,Skyr ,https://world.openfoodfacts.org/product/4016241030573,skimmed  milk,milk,,milk,,,,,,,milk
127,PRINGLES Original,https://world.openfoodfacts.org/product/5053990101573,"dehydrated potatoes, vegetable oils sunflower, wheat flour, rice flour, corn flour, emulsifier, maltodextrin, salt, coloring annattonorbixin","gluten,soybeans",,,,,,wheat,soy,,"wheat, soy"
128,Wasa crispbread,https://world.openfoodfacts.org/product/7300400481571,"whole rye flour, salt",gluten,,,,,,wheat,,,wheat
129,Yogurt Greek Style,https://world.openfoodfacts.org/product/20047559,"cream, skimmed milk retentate, microbial cultures,",milk,,milk,,,,,,,milk
130,HENRYS Sable Coco Biscuit,https://world.openfoodfacts.org/product/3362600001106,"wheat flour, sugar, inverted sugar, coconut, milk powder, whey, salt, raising agents ammonium bicarbonate, sodium bicarbonate, coconut flavor, vegetable fat","gluten,milk",,milk,,,,wheat,,,"milk, wheat"
131,Crispbread,https://world.openfoodfacts.org/product/3041090063114,"cereals wheat flour, rye flour, skimmed milk powder, sugar, salt, palm oil, ferric pyrophosphate iron mineral","gluten,milk",,milk,,,,wheat,,,"milk, wheat"
132,Biscuit raisins,https://world.openfoodfacts.org/product/3175681851856,"wheat flour, rapeseed oil, unrefined sugar, raisin paste, wheat germ, wheat starch, raisins, wheat fibers, magnesium, emulsifier lecithins, raising agents potassium tartrates, sodium carbonates, natural flavor, vitamins b, b, b, d, e",gluten,,,,,,wheat,,,wheat
133,NESQUIK Cocoa,https://world.openfoodfacts.org/product/7613287431943,"sugar, fat reduced cocoa powder, emulsifier from plant origin soya lecithin, salt, vitamins c, d, natural vanilla flavor, cinnamon",soybeans,,,,,,,soy,,soy
134,Chocolate oat cereal bar,https://world.openfoodfacts.org/product/3229820794525,"oat flakes*, wheat flour*, rapeseed oil*, brown cane sugar*, dark chocolate chips* cane sugar*, cocoa paste*, cocoa butter*, puffed rice balls rice flour*, salt, acacia fibers*, raising agents ammonium carbonates, sodium carbonates, cocoa extract*, lowfat cocoa powder*, powdered egg yolk*, sea salt, antioxidant rosemary extract*","eggs,gluten",,,egg,,,wheat,,,"egg, wheat"
135,BN Chocolate,https://world.openfoodfacts.org/product/3061990143365,"wheat flour, whole grains, whole wheat flour, whole rye flour, whole barley flour, sugar, vegetable fats palm, palm kernel, rapeseed, lowfat cocoa, wheat starches, glucose syrup, raising agents ammonium carbonates, sodium carbonates, salt, skimmed milk powder, whey permeate powder milk, emulsifier sunflower lecithins, flavours","gluten,milk",,milk,,,,wheat,,,"milk, wheat"
136,MCVITIES Digestives,https://world.openfoodfacts.org/product/5000168036755,"flour  wheat flour, calcium, iron, niacin, thiamin, vegetable oil palm, wholemeal wheat flour , sugar, partially inverted sugar syrup, raising agents sodium bicarbonate, malic acid, ammonium bicarbonate, salt for allergens, including cereals containing gluten, see ingredients in bold may also contain milk by appointment to her majesty the queen biscuit manufacturers united biscuits uio limited, london for suitable fegetarian v suitable for vegans a",gluten,,,,,,wheat,,,wheat
137,ALPRO Almond Drink,https://world.openfoodfacts.org/product/5411188110835,"water, almonds, sugar, calcium tricalcium phosphate, sea salt, stabilizers locust bean gum, gellan, emulsifier lecithin, natural flavor, vitamins b, b, e, d",nuts,,,,,tree nut,,,,tree nut
138,HARRYS Hand-braided brioche without additives ,https://world.openfoodfacts.org/product/3228857001231,"wheat flour, water, fresh eggs, sugar, rapeseed oil, pearl sugar, sugar, vegetable fat shea, flavorings, wheat gluten, flavors including orange blossom contains alcohol, plant extracts, coloring turmeric, paprika, yeast, wheat fiber, salt, malted barley flour, acerola extract","eggs,gluten",,,egg,,,wheat,,,"egg, wheat"
139,MAILLE Dijon mustard,https://world.openfoodfacts.org/product/8720182556738,"water, mustard seeds, spirit vinegar, salt, acidifier citric acid, preservative potassium disulphite",mustard,,,,,,,,,none
140,Crunchy Peanut Butter,https://world.openfoodfacts.org/product/5013665108801,"roasted peanuts , sustainable palm oil, sea salt",peanuts,,,,peanut,tree nut,,,,"peanut, tree nut"
141,Peanut & chocolate protein,https://world.openfoodfacts.org/product/8410076610737,"roasted peanuts, soy protein, oligofructose, glucose syrup, vegetable oils and fats palm, shea, sunflower, rapeseed, sugar, chocolate pieces sugar, cocoa paste, cocoa butter, soy lecithins, maltodextrin, peanut butter, lowfat cocoa powder, tapioca starch, fructose, milk lactose, humectant glycerol, emulsifiers soy lecithins, table salt, natural milk flavor, stabilizer calcium carbonate","milk,peanuts,soybeans",,milk,,peanut,tree nut,,soy,,"milk, peanut, tree nut, soy"
142,Brazil Nuts,https://world.openfoodfacts.org/product/20202392,whole brazil nuts,nuts,,,,,tree nut,,,,tree nut
143,PAYSAN BRETON Whipped Cheese Madame Loik Natural with Guerande Salt,https://world.openfoodfacts.org/product/3412290070101,"fromage frais, sel de gurande ,",milk,,milk,,,,,,,milk
144,MENGUYS creamy peanut butter,https://world.openfoodfacts.org/product/3327272107259,"peanuts, salted vegetable butter, cocoa, sugar, salt","milk,peanuts",,milk,,peanut,tree nut,,,,"milk, peanut, tree nut"
145,SNICKERS,https://world.openfoodfacts.org/product/5000159461122,"milk chocolate sugar, cocoa butter, chocolate, skim milk, lactose, milkfat, soy lecithin, peanuts, corn syrup, sugar, palm oil, skim milk, lactose, salt, egg whites, artificial flavor","eggs,milk,peanuts,soybeans",,milk,egg,peanut,tree nut,,soy,,"milk, egg, peanut, tree nut, soy"
146,Wholemeal bread,https://world.openfoodfacts.org/product/3228857000166,"whole wheat flour, water, wheat flour, rapeseed oil, sugar, flavor contains alcohol, salt, vinegar, malted rye flour, yeast, wheat gluten, acerola extract",gluten,,,,,,wheat,,,wheat
147,REGENT'S PARK Crumpets nature ,https://world.openfoodfacts.org/product/3513851557823/crumpets-nature-regent-s-park,"wheat flour  wheat flour, calcium carbonate, iron, niacin, thiamine,water,vinegar,raising agents e and sodium carbonates,sugar,yeast,salt,preservatives potassium sorbate and calcium propionate,wheat starch",gluten,,,,,,wheat,,,wheat
148,Fig-filled biscuits,https://world.openfoodfacts.org/product/7622201133337,"wheat flour, fig paste, sugar, palm oil, glucosefructose syrup, glucose syrup, partially inverted sugar syrup, salt, raising agents sodium carbonates, ammonium carbonates, acidity regulator citric acid",gluten,,,,,,wheat,,,wheat
149,Nutritional Yeast Flakes,https://world.openfoodfacts.org/product/5016084000374,"dried inactive yeast , thiamine b, riboflavin b, niacin b, pantothenic acid b, pyridoxine b, biotin b, folic acid b cyanocobalamin b, zinc sulfate","celery,milk,mustard,soybeans",,milk,,,,,soy,,"milk, soy"
150,Soy sauce,https://world.openfoodfacts.org/product/8715035110106,"water,  soybeans ,  wheat , salt,","gluten,soybeans",,,,,,wheat,soy,,"wheat, soy"
151,AICHA Double tomato paste ,https://world.openfoodfacts.org/product/6111021026000/double-concentre-de-tomates-aicha,"tomatoes,salt",,,,,,,,,,none
152,SIDI ALI Mineral Water,https://world.openfoodfacts.org/product/6111035002175,"sodium, calcium, magnsium, potassium, bicarbonates, sulfates, chlorures,",,,,,,,,,,none
153,BRAMWELLS Baked Beans in a Rich Tomato Sauce,https://world.openfoodfacts.org/product/4088600072517/baked-beans-in-a-rich-tomato-sauce-bramwells,"haricot beans , tomato , water, sugar, modified maize starch, salt, onion powder, ground paprika, flavourings, paprika extract",,,,,,,,,,none
154,PURELY ELIZABETH Organic Original Ancient Grain Granola,https://world.openfoodfacts.org/product/0855140002663/original-ancient-grain-granola-purely-elizabeth,"organic glutenfree oats, organic coconut palm sugar, organic raw virgin coconut oil, organic sunflower seeds, organic puffed amaranth, organic millet flakes, organic quinoa flakes, organic chia seeds, organic cinnamon, salt",,,,,,,,,,none
155,AZURA Elongated cherry tomatoes,https://world.openfoodfacts.org/product/3504182960123/tomates-cerises-allongees-azura,elongated cherry tomatoes,,,,,,,,,,none
156,MAIZENA cornstarch,https://world.openfoodfacts.org/product/8712100338694/cornstarch-maizena,cornstarch,,,,,,,,,,none
157,NESTLE Perrier,https://world.openfoodfacts.org/product/7613035833272/perrier-nestle,mineral water natural enhanced gas,,,,,,,,,,none
158,SUNNY BIO organic agave syrup,https://world.openfoodfacts.org/product/3088542506508/sirop-d-agave-biologique-doseur-500g-sunny-bio, organic agave syrup,,,,,,,,,,none
159,LILIATable margarine,https://world.openfoodfacts.org/product/6111099003897/margarine-de-table-lilia,"filtered vegetable oils nonhydrogenated, starch, soy lecithin, citric acid, antioxidants tocopherols, cocoachocolate mixture",,,,,,,,,,none
160,Orange juice Coca cola,https://world.openfoodfacts.org/product/5449000147417/orange-juice-coca-cola,"water, orange juice and pulp, sugar, acidifiers, thickener, emulsifiers, natural and identicaltonatural flavors, sweeteners, coloring",,,,,,,,,,none
161,Excellence dark chocolate,https://world.openfoodfacts.org/product/3046920029759,"cocoa paste, cocoa butter, lowfat cocoa, sugar, vanilla",,,,,,,,,,none
162,OULMES natural carbonated water,https://world.openfoodfacts.org/product/6111035003035,natural carbonated water ,,,,,,,,,,none
163,APERITIVOS COMPANY Trios ,https://world.openfoodfacts.org/product/6111252860077/trios-aperitivos-company,"corn, vegetable oil,fat, flavorings, salt, and coloring",,,,,,,,,,none
164,Baking powder,https://world.openfoodfacts.org/product/6111180000231,"sodium bicarbonate, corn starch, sodium pyrophosphate",,,,,,,,,,none
165,DANONE Danino yogurt,https://world.openfoodfacts.org/product/6111032008453/danino-danone,"milk without cream, cream, sugar, fruit extracts, calcium citrate, potassium chloride, milk yeast, natural colors red carmine beta carotene, vitamin d",,,,,,,,,,none
166,GERBLE Sesame Cookie,https://world.openfoodfacts.org/product/3175680011480,"wheat flour, brown cane sugar, rapeseed oil, toasted sesame, wheat germ, whole wheat flour, natural flavor, magnesium, emulsifier lecithins, raising agents potassium tartrates, sodium carbonates, ammonium carbonates, sea salt, wheat starch, vitamins e, pp, b",,,,,,,,,,none
167,Strawberry jam,https://world.openfoodfacts.org/product/6111162000839,"strawberries, sugar",,,,,,,,,,none
168,EKIBIO Crispy buckwheat toast,https://world.openfoodfacts.org/product/06175700/tartines-craquantes-au-sarrasin-imp-ekibio,"corn flour*, rice flour*, sea salt*",,,,,,,,,,none
169,Plain yogurt,https://world.openfoodfacts.org/product/6111242100206,"whole fresh milk, creamed milk powder, starch, selected lactic cultures",,,,,,,,,,none
170,AIN ATLAS mineral water,https://world.openfoodfacts.org/product/6111035001635,sodium  calcium  magnsium  potassium  bicarbonates  chlorures  sulfates nitrates ,,,,,,,,,,none
171,Coca Cola,https://world.openfoodfacts.org/product/54491472,"water, fructoseglucose syrup, carbon dioxide, colorant ed, acid phosphoric acid, natural flavors, caffeine flavoring,",,,,,,,,,,none
172,CRISTALINE spring water,https://world.openfoodfacts.org/product/3268840001008,spring water,,,,,,,,,,none
173,The Great White Jason's Sourdough ,https://world.openfoodfacts.org/product/5025125000112,"wheat flour wheat flour, calcium carbonate, iron, niacin, thiamin, water, rye flour, salt, fermented wheat",,,,,,,,,,none
174,Sliced White Sourdough Bread with Grains & Seeds,https://world.openfoodfacts.org/product/5025125000037,"wheat flour wheat flour, calcium carbonate, iron, niacin, thiamin, water, mixed seeds golden linseeds, sunflower seeds , sprouted spelt wheat grains , salt, fermented wheat flour",,,,,,,,,,none
175,Cheddar,https://world.openfoodfacts.org/product/6111203006653,"skimmed milk, mixed cheddar , butter, emulsifying salts e, e, e, milk proteins, preservative potassium sorbate, calcium, vitamins a, d, e",,,,,,,,,,none
176,Iodized table salt,https://world.openfoodfacts.org/product/6111184001562,"salt, potassium iodate, and anticaking agents",,,,,,,,,,none
177,IDEAL Vanillin Sugar ,https://world.openfoodfacts.org/product/6111180000392/ideal-vanillin-sugar,"sugar, corn starch, ethyl vanillin",,,,,,,,,,none
178,Cosumar sugar cubes for tea,https://world.openfoodfacts.org/product/6111029000118,sugar,,,,,,,,,,none
179,HEINZ BEANZ In a rich tomato sauce ,https://world.openfoodfacts.org/product/5000157024671/beanz-in-a-rich-tomato-sauce-heinz,"beans , tomatoes , water, sugar, modified cornflour, salt, spice extracts , herb extract",,,,,,,,,,none
180,DELICIA Apricot jam ,https://world.openfoodfacts.org/product/6111162000716/confiture-d-abricot-delicia,"apricots, sugar, citric acid",,,,,,,,,,none
181,HACENDADO Guacamole,https://world.openfoodfacts.org/product/8480000038524/guacamole-hacendado,"avocado , salt, dehydrated onion, jalapeo, sugar, antioxidants ascorbic acid, sodium ascorbate, sodium citrate, acidity corrector citric acid, preservative potassium sorbate, garlic aroma, dehydrated coriander",,,,,,,,,,none
182,Primrose spread & cooking margarine,https://world.openfoodfacts.org/product/3155250364772/primevere-tartine-cuisson,"vegetable oils and fats nonhydrogenated  rapeseed, palm kernel, palm, water, emulsifiers  lecithins, sunflower, salt, natural flavourings, concentrated lemon juice, antioxidant  rosemary extract, colours  annatto, curcumin, vitamin b",,,,,,,,,,none
183,CIEL Bottled water,https://world.openfoodfacts.org/product/42104964,purified water treated and filtered and mineral salts magnesium,,,,,,,,,,none
184,AIN SAISS natural mineral water,https://world.openfoodfacts.org/product/6111128000088,water,,,,,,,,,,none
185,Cream Cheese the shepherd,https://world.openfoodfacts.org/product/6111246721964/cream-cheese-le-berger,"pasteurized cows milk, pasteurized fresh cream, lactic cultures, rennet, salt",,,,,,,,,,none
186,OULMES sparkling water,https://world.openfoodfacts.org/product/6111035003004,oulmes sparkling water  oulmes water,,,,,,,,,,none
187,Dark Chocolate Bar,https://world.openfoodfacts.org/product/7622210578464,"cocoa mass , cane sugar , cocoa butter , vanilla extract , may contain nuts, milk,",,,,,,,,,,none
188,King cookies choco,https://world.openfoodfacts.org/product/6111259343108,"wheat flour, chocolate flakes  palm oil paste, cocoa, sugar, dextrose, and emulsifier",,,,,,,,,,none
189,NESCAFE Classic Coffee,https://world.openfoodfacts.org/product/6111018903161, coffee,,,,,,,,,,none
190,Mini almond cakes (financiers),https://world.openfoodfacts.org/product/6923818881323/petits-fours-financiers,green tea,,,,,,,,,,none
191,Organic Porridge Oats,https://world.openfoodfacts.org/product/4088600056135/organic-porridge-oats-kavanagh-s,organic oat flakes,,,,,,,,,,none
192,Cooked tomate sauce,https://world.openfoodfacts.org/product/8445290615350,"tomato, tomato concentrate, water, nonhydrogenated sunflower oil, sugar, modified corn starch, salt, natural onion flavor, onion, garlic, white pepper",,,,,,,,,,none
193,Coke Zero,https://world.openfoodfacts.org/product/5449000214799,"carbonated water, colouring ed, acidifier phosphoric acid, sweeteners aspartame, acesulfamek, natural flavors, caffeine aroma, acidity regulator sodium citrates",,,,,,,,,,none
194,BARILLA Basilico Sauce ,https://world.openfoodfacts.org/product/8076809513722/basilico-sauce-barilla,"tomato pulp , tomato concentrate ,, onions, sunflower oil, basil , sugar, salt, natural flavor",,,,,,,,,,none
195,HUILE D'OLIVE Olive oil,https://world.openfoodfacts.org/product/6111099000254/ma-hfo-25-16-14-oued-souss,olive oil,,,,,,,,,,none
196,Excellence Noir Intense Cacao,https://world.openfoodfacts.org/product/3046920022651/excellence-noir-intense-70-cacao-lindt,"cocoa paste, sugar, cocoa butter, vanilla",,,,,,,,,,none
197,STAR white table vinegar,https://world.openfoodfacts.org/product/6111184001661,table vinegar,,,,,,,,,,none
198,Lightly sea salted crisps,https://world.openfoodfacts.org/product/5060042641000,"potatoes, sunflower oil, sea salt",,,,,,,,,,none
199,Dark chocolate,https://world.openfoodfacts.org/product/7622210584724,"cocoa paste*, cocoa butter*, lowfat cocoa powder*, cane sugar*, vanilla extract*",,,,,,,,,,none
200,TARTIMIEL honey spread dispenser,https://world.openfoodfacts.org/product/3088540004440/tartimiel-lune-de-miel-doseur-250-g,blend of honeys not originating in and originating in the eu,,,,,,,,,,none
